Missing	taxid
CFU09427	Record_suppressed
CP000089	Record_suppressed
CP000090	Record_suppressed
CP000108	Record_suppressed
CP000109	Record_suppressed
CP000232	Record_suppressed
CP000301	Record_suppressed
CP000393	Record_suppressed
CP000436	Record_suppressed
CP000463	Record_suppressed
CP000473	Record_suppressed
CP000580	Record_suppressed
CP000607	Record_suppressed
CP000661	Record_suppressed
CP000680	Record_suppressed
CP000713	Record_suppressed
CP000749	Record_suppressed
CP000826	Record_suppressed
CP000850	Record_suppressed
CP000927	Record_suppressed
CP000937	Record_suppressed
CP000949	Record_suppressed
CP001010	Record_suppressed
CP001068	Record_suppressed
CP001101	Record_suppressed
CP001197	Record_suppressed
CP001344	Record_suppressed
CP001358	Record_suppressed
CP001364	Record_suppressed
CP001635	Record_suppressed
CP001638	Record_suppressed
CP001644	Record_suppressed
CP001661	Record_suppressed
CP001701	Record_suppressed
CP001715	Record_suppressed
CP002021	Record_suppressed
CP002210	Record_suppressed
CP002217	Record_suppressed
CP002418	Record_suppressed
CP002475	Record_suppressed
CP002479	Record_suppressed
CP002519	Record_suppressed
CP002552	Record_suppressed
CP002584	Record_suppressed
CP002876	Record_suppressed
CP006809	Record_suppressed
CP009407	Record_suppressed
CP009483	Record_suppressed
CP009499	Record_suppressed
FP929051	Record_suppressed
GLU09436	152421
LL710750	Record_suppressed
NC_008277	Record_suppressed
NC_017293	Record_suppressed
NC_019552	1118964
NC_021195	Record_suppressed
NC_021555	Record_suppressed
NC_022777	1231072
U09441	40357
RLU09446	1148509
SNU09447	1898203
VBU09448	28450
X70810_2	3039
XM_001696292	Record_suppressed
XM_002401652	Record_suppressed
XM_003342965	Record_suppressed
XM_003390908	Record_suppressed
XM_003494197	Record_suppressed
XM_005963989	Record_suppressed
XM_005963997	Record_suppressed
XM_005965693	Record_suppressed
XM_005968744	Record_suppressed
XM_005971313	Record_suppressed
XM_005975213	Record_suppressed
XM_005976011	Record_suppressed
XM_005977799	Record_suppressed
XM_007277365	Record_suppressed
XM_007448161	Record_suppressed
XM_008480528	Record_suppressed
XM_009351801	Record_suppressed